SOC;mAh_Charge1;mAh_Discharge1;Avg_Ah1;Charge1;Discharge1;Avg_OCV1;Avg_dOCV1;Delta_OCV1;R0_est1;mAh_Charge2;mAh_Discharge2;Avg_Ah2;Charge2;Discharge2;Avg_OCV2;Avg_dOCV2;Delta_OCV2;R0_est2;mAh_Charge3;mAh_Discharge3;Avg_Ah3;Charge3;Discharge3;Avg_OCV3;Avg_dOCV3;Delta_OCV3;R0_est3;Avg_avg_OCV;Avg_avg_dOCV;Avg_charge_OCV;Avg_discharge_OCV
0;0;0;0;2.637900114;2.026900053;2.3324000835;0.15624728354194;0.611000061;0.409815221469935;0;0;0;2.594799995;2.00270009;2.2987500425;0.187647347379217;0.592099905;0.399027175841314;0;0;0;2.619299889;2.010400057;2.314849973;0.158691290944144;0.608899832;0.411417527777067;2.52248395182208;0.0404245885924701;2.61733333266667;2.0133334
0.001;15.0142300000003;15.0836613888914;15.0489456944459;2.71898102896962;2.25831370511425;2.48864736704194;0.15624728354194;0.46066732385537;0.308982753685438;15.3433552777796;15.053488055557;15.1984216666683;2.69542093758082;2.27737384217762;2.48639738987922;0.187647347379217;0.418047095403197;0.281729739253044;15.3768352777792;15.3535250000023;15.3651801388907;2.70952174553401;2.23756078235428;2.47354126394414;0.158691290944144;0.471960963179721;0.318891552393603;2.56290854041456;0.0404245885924701;2.70797457069482;2.25774944321539
0.002;30.0284600000006;30.167322777781;30.0978913888908;2.76153105325826;2.46937181819295;2.6154514357256;0.126804068683665;0.292159235065309;0.195959557560136;30.6867105555593;30.1069761111085;30.3968433333339;2.74414071238672;2.49086251686194;2.61750161462433;0.131104224745109;0.253278195524782;0.170688902681783;30.7536705555584;30.7070500000009;30.7303602777797;2.75392875087701;2.44833982471637;2.60113428779669;0.127593023852542;0.305588926160639;0.206478362958489;2.59522007196326;0.0323115315487024;2.75320017217399;2.46952471992375
0.003;45.0426900000009;45.2509841666724;45.1468370833366;2.79390893923428;2.57412049124013;2.6840147152372;0.0685632795115962;0.21978844799415;0.147418400161593;46.0300658333389;45.1604641666636;45.5952650000012;2.77893611288087;2.5871212335782;2.68302867322953;0.0655270586052064;0.191814879302667;0.129267626841598;46.1305058333376;46.0605749999977;46.0955404166677;2.78693506690908;2.56124608386365;2.67409057538637;0.0729562875896796;0.225688983045426;0.152492082558284;2.62206103572385;0.0268409637605922;2.78659337300807;2.57416260289399
0.004;60.0569200000012;60.3346455555638;60.1957827777825;2.8210062053609;2.63513664989634;2.72807142762862;0.0440567123914199;0.185869555464555;0.124668028531056;61.3734211111186;60.2139522222169;60.7936866666677;2.80752062986306;2.64449768966152;2.72600915976229;0.0429804865327585;0.163022940201546;0.109864201761644;61.5073411111168;61.4141;61.4607205555584;2.81433637333687;2.62514382058792;2.71974009696239;0.0456495215760242;0.18919255274895;0.127832408936853;2.69215834188486;0.0700973061610064;2.81428773618694;2.63492605338193
0.005;75.0711500000014;75.4183069444534;75.2447284722274;2.84474236295793;2.67529152981766;2.7600169463878;0.0319455187591746;0.169450833140265;0.113655521732661;76.7167763888982;75.2674402777739;75.992108333336;2.83240100443899;2.68250614090682;2.75745357267291;0.0314444129106168;0.14989486353217;0.101016945895914;76.884176388896;76.7676250000004;76.8259006944482;2.8383409898243;2.66738435029493;2.75286267005961;0.0331225730972218;0.170956639529366;0.115510884214281;2.74124061206953;0.0490822701846727;2.83849478574041;2.67506067367314
0.006;90.0853800000017;90.501968333343;90.2936741666724;2.86639344480023;2.7055710895182;2.78598226715922;0.0259653207714234;0.160822355282032;0.107868154774574;92.0601316666778;90.3209283333272;91.1905300000025;2.85494994869065;2.71266252712106;2.78380623790586;0.026352665232948;0.142287421569584;0.095890148786046;92.2610116666752;92.1211500000009;92.191080833338;2.86026486648134;2.69879903311293;2.77953194979713;0.0266692797375203;0.16146583336841;0.109098197262921;2.77464326418067;0.0334026521111381;2.86053608665741;2.7056775499174
0.007;105.099610000002;105.585629722234;105.342619861118;2.88573789170273;2.73148622228641;2.80861205699457;0.0226297898353516;0.15425166941632;0.103461007778781;107.403486944457;105.37441638888;106.388951666669;2.87533780128911;2.73823214723691;2.80678497426301;0.0229787363571519;0.137105654052195;0.0923980589531145;107.637846944454;107.474675000001;107.556260972228;2.87998090806494;2.72531208618219;2.80264649712356;0.0231145473264291;0.154668821882751;0.104505636196649;2.80064384491356;0.026000580732894;2.88035220035226;2.7316768185685
0.008;120.113840000002;120.669291111126;120.391565555564;2.90369975651692;2.75402740940626;2.82886358296159;0.0202515259670188;0.149672347110654;0.100389525295117;122.746842222237;120.427904444434;121.587373333335;2.89358433471645;2.76101425018363;2.82729929245004;0.0205143181870295;0.132570084532823;0.0893414540104964;123.014682222234;122.828200000002;122.921441111118;2.89778933429266;2.74851230437093;2.82315081933179;0.0205043222082324;0.149277029921723;0.100862544833644;2.82259350419827;0.0219496592847053;2.89835780850867;2.75451798798694
0.009;135.128070000003;135.752952500015;135.440511250009;2.92004035154807;2.77469966906926;2.84737001030866;0.0185064273470741;0.145340682478813;0.0974841538987114;138.090197500017;135.481392499989;136.785795000003;2.91063497348831;2.78170658319931;2.84617077834381;0.0188714858937731;0.128928390288995;0.0868872482977085;138.391517500013;138.181725;138.286621250007;2.91443190785043;2.76957257980567;2.84200224382805;0.0188514244962512;0.14485932804476;0.0978776204024673;2.84205982772992;0.0194663235316561;2.9150357442956;2.77532627735808
0.01;150.142300000003;150.836613888905;150.489456944454;2.9354753235537;2.79353094507709;2.86450313431539;0.0171331240067301;0.141944378476605;0.0952061556370323;153.433552777796;150.534880555544;151.98421666667;2.92637568398427;2.80057913073237;2.86347740735832;0.0173066290145081;0.125796553251897;0.084776644871571;153.768352777792;153.535250000003;153.651801388897;2.92971950576161;2.78861172937869;2.85916561757015;0.0171633737421031;0.141107776382923;0.095342796070243;2.85973125916289;0.0176714314329702;2.93052350443319;2.79424060172938
0.011;165.156530000003;165.920275277796;165.5384026389;2.94960353914827;2.81060151775887;2.88010252845357;0.0155993941381758;0.139002021389403;0.0932326325585537;168.776908055576;165.588368611097;167.182638333337;2.94112170490351;2.81789688050039;2.87950929270195;0.0160318853436343;0.123224824403121;0.0830435088063714;169.145188055571;168.888775000001;169.016981527786;2.94431853286564;2.80598488348755;2.8751517081766;0.0159860906064497;0.138333649378091;0.0934683917526747;2.87600230293236;0.0162710437694704;2.94501459230581;2.81149442724894
0.012;180.170760000003;181.003936666688;180.587348333346;2.96261363640365;2.82661894932322;2.89461629286344;0.014513764409867;0.135994687080437;0.0912155273984558;184.120263333356;180.641856666654;182.381060000005;2.95486471577967;2.83406530205668;2.89446500891817;0.0149557162162206;0.120799413722988;0.0814089792856334;184.52202333335;184.2423;184.382161666675;2.95763061508704;2.82245874791991;2.89004468150348;0.0148929733268788;0.135171867167128;0.0913320590551743;2.8911156737145;0.0151133707821396;2.95836965575679;2.82771433309994
0.013;195.184990000004;196.087598055577;195.636294027791;2.97541666530867;2.84138189505718;2.90839928018292;0.0137829873194848;0.134034770251491;0.0899009551085572;199.463618611135;195.695344722208;197.579481666671;2.96750953126788;2.84874525055635;2.90812739091211;0.0136623819939401;0.118764280711534;0.0800374651692412;199.89885861113;199.595825000002;199.747341805566;2.97021474323383;2.83757294448529;2.90389384385956;0.0138491623560797;0.132641798748536;0.0896225586756706;2.90521998831542;0.0141043146009201;2.97104697993679;2.8425666966996
0.014;210.199220000004;211.171259444469;210.685239722236;2.98715431045623;2.85525071361489;2.92120251203556;0.0128032318526401;0.131903596841347;0.088471516130041;214.806973888915;210.748832777761;212.777903333338;2.97982873242872;2.86300302237857;2.92141587740365;0.0132884864915335;0.116825710050147;0.0787310262226208;215.275693888909;214.949350000003;215.112521944456;2.98241942652718;2.85181468967442;2.9171170581008;0.0132232142412447;0.130604736852763;0.0882461697771301;2.91844970980721;0.0132297214917894;2.98313415647071;2.85668947522263
0.015;225.213450000004;226.25492083336;225.734185416682;2.99849461538648;2.86851481048505;2.93350471293577;0.0123022009002045;0.129979804901422;0.0871811738367322;230.150329166695;225.802320833316;227.976325000005;2.99131425008244;2.87626884456278;2.93379154732261;0.0123756699189626;0.115045405519658;0.0775312457752003;230.652529166688;230.302875000003;230.477702083346;2.99346635210569;2.86533008971429;2.92939822090999;0.0122811628091872;0.128136262391398;0.0865782868070532;2.93092354943008;0.0124738396228654;2.99442507252487;2.87003791492071
0.016;240.227680000005;241.33858222225;240.783131111127;3.00913311061898;2.88105540496886;2.94509425779392;0.0115895448581544;0.128077705650124;0.0859053814503086;245.493684444474;240.855808888871;243.174746666673;3.00226978467602;2.88893481406001;2.94560229936802;0.0118107520454065;0.113334970616003;0.0763785517732213;246.029364444467;245.656400000003;245.842882222235;3.0041287041139;2.87794545976191;2.9410370819379;0.0116388610279157;0.12618324435199;0.0852586841216034;2.94274217375835;0.0118186243282734;3.00517719980297;2.88264522626359
